fruit_name,country,brand_name,drink,pet
apple,USA,Nike,water,cat
banana,USA,Nike,soda,dog
orange,Canada,Puma,coffee,bird
apple,USA,Nike,water,cat
orange,Canada,Puma,coffee,bird
banana,Mexico,Adidas,soda,dog
kiwi,Italy,New Balance,tea,fish
kiwi,Italy,New Balance,tea,fish
orange,Canada,Puma,coffee,bird
apple,USA,Nike,water,cat
orange,Canada,Puma,coffee,bird
banana,Mexico,Adidas,soda,dog
orange,Canada,Puma,coffee,bird
kiwi,Italy,New Balance,tea,fish
kiwi,Italy,New Balance,tea,fish
orange,Canada,Puma,coffee,bird
apple,USA,Nike,water,cat
orange,Canada,Puma,coffee,bird
banana,Mexico,Adidas,soda,dog
pineapple,Canada,Puma,coffee,bird
kiwi,Italy,New Balance,tea,fish
kiwi,Italy,New Balance,tea,fish
orange,Canada,Puma,coffee,bird
orange,Canada,Puma,coffee,dog
figs,Mexico,Adidas,soda,bird
